Tree ID,Tree Species,Chemical Compound,Concentration,Dosage,Measurement Date,Location,Season,Tree Age (years),pH Level,Soil Type,Fruit Stage,Yield (kg),Health Status
A001,Apple,Sugars,320.5,300.1,2022-04-15,SKUAST Orchard A,Spring,9,6.5,Loamy,Fruiting,35.2,Excellent
A001,Apple,Malic Acid,1.4,1.3,2022-04-15,SKUAST Orchard A,Spring,9,6.5,Loamy,Fruiting,35.2,Excellent
A001,Apple,Vitamin C,0.6,0.5,2022-04-15,SKUAST Orchard A,Spring,9,6.5,Loamy,Fruiting,35.2,Excellent
A001,Apple,Chlorophyll,2.9,2.7,2022-04-15,SKUAST Orchard A,Spring,9,6.5,Loamy,Fruiting,35.2,Excellent
A002,Apple,Sugars,280.3,260.2,2021-04-01,SKUAST Orchard A,Spring,8,6.3,Loamy,Fruiting,28.7,Good
A002,Apple,Malic Acid,1.2,1.0,2021-04-01,SKUAST Orchard A,Spring,8,6.3,Loamy,Fruiting,28.7,Good
A002,Apple,Vitamin C,0.4,0.3,2021-04-01,SKUAST Orchard A,Spring,8,6.3,Loamy,Fruiting,28.7,Good
A002,Apple,Chlorophyll,2.5,2.3,2021-04-01,SKUAST Orchard A,Spring,8,6.3,Loamy,Fruiting,28.7,Good
C001,Cherry,Sugars,250.5,230.4,2023-05-10,SKUAST Orchard B,Spring,7,6.8,Clay Loam,Fruiting,22.1,Fair
C001,Cherry,Anthocyanins,4.1,3.9,2023-05-10,SKUAST Orchard B,Spring,7,6.8,Clay Loam,Fruiting,22.1,Fair
C001,Cherry,Vitamin C,0.6,0.5,2023-05-10,SKUAST Orchard B,Spring,7,6.8,Clay Loam,Fruiting,22.1,Fair
C001,Cherry,Pectin,1.5,1.3,2023-05-10,SKUAST Orchard B,Spring,7,6.8,Clay Loam,Fruiting,22.1,Fair
K001,Kiwi,Vitamin C,150.3,140.2,2022-06-20,SKUAST Orchard C,Summer,5,6.0,Sandy Loam,Ripening,18.5,Good
K001,Kiwi,Sugars,200.8,190.5,2022-06-20,SKUAST Orchard C,Summer,5,6.0,Sandy Loam,Ripening,18.5,Good
K001,Kiwi,Actinidin,0.9,0.8,2022-06-20,SKUAST Orchard C,Summer,5,6.0,Sandy Loam,Ripening,18.5,Good
K001,Kiwi,Fiber,2.1,2.0,2022-06-20,SKUAST Orchard C,Summer,5,6.0,Sandy Loam,Ripening,18.5,Good
K002,Kiwi,Vitamin C,145.8,135.6,2023-06-20,SKUAST Orchard C,Summer,4,5.9,Sandy Loam,Ripening,16.2,Fair
K002,Kiwi,Sugars,195.4,185.2,2023-06-20,SKUAST Orchard C,Summer,4,5.9,Sandy Loam,Ripening,16.2,Fair
K002,Kiwi,Actinidin,0.8,0.7,2023-06-20,SKUAST Orchard C,Summer,4,5.9,Sandy Loam,Ripening,16.2,Fair
K002,Kiwi,Fiber,2.0,1.9,2023-06-20,SKUAST Orchard C,Summer,4,5.9,Sandy Loam,Ripening,16.2,Fair
// ... 980 more synthetic records like these, varied by species, compound, values, and targets ... 
